name,has_substack,has_newsletter,large_audience,vc_accelerator,writing_craft_posts,notes
Jacob Colker,false,false,false,true,true,AI2 Incubator MD — portfolio network effect
Chris Daigle,false,false,true,false,false,ChiefAIOfficer.com — large AI executive audience
Abdul Wasay,false,false,false,true,false,AI Product Accelerator co-founder
Emma Fieldhouse,false,true,false,false,true,Ramp founder — blogging in company rationale
Tom Nash,false,false,false,false,true,Expansify AI — ai writer and creative content focus
Frank Pica,false,false,false,false,false,Native AI CEO — high-stakes founder email volume
Roman Ischenko,false,false,false,false,false,Raised AI founder — fundraising emails daily
Mark Espanol,false,false,false,false,false,AITA founder — relationship-heavy email role
Chris Skaling,false,false,false,false,false,Naitive founder — AI-native product
Daniel David,false,true,false,false,true,Fynora AI founder — Substack essays on identity/coordination
Ana Chubinidze,true,true,true,false,true,Governance Substack — opinionated policy voice
Huy Le,true,true,false,false,true,Writerly technical Substack — high taste original thinking
Eric Ho,true,true,true,false,false,Substack + AI ecosystem interviews — ideas-driven founder
Vinay Ahuja,false,false,false,false,false,Genmark founder — visible community operator voice
Eldar Sadikov,false,false,false,false,true,Medium founder essays — substantive operator writing
Yang Xie,false,false,false,false,true,Fellou founder — contrarian browser/AI thinker
Tom Bustamante,false,true,false,false,true,Next Realm AI — publishes on AI governance/LLM topics
Amir Harouni,false,false,false,false,false,AI Alchemy CEO — personal site founder footprint
Devin Johnson,false,false,false,false,false,SalesAI founder — GTM-adjacent podcast presence
