Founder,LinkedIn URL,Company,Title,Public Channels,LinkedIn Followers,Edge Score,Why They Have Edge,Representative URL,Confidence
Ana Chubinidze,https://linkedin.com/in/anachubinidze,adalanai.com,Founder & CEO,"Substack, newsletter, LinkedIn, speaker circuit",15945,25,"Runs a governance newsletter, moved it to Substack, and writes in an opinionated policy voice. Strong mix of audience, cadence, and original framing beyond standard founder posting.",https://anachubinidze.substack.com/,high
Huy Le,https://linkedin.com/in/hello-huy-le,govaiq.com,Co-Founder,"Substack, personal blog, LinkedIn",130,20,"Very writerly technical voice. Posts titles like ""MCP Is Over"" and essays about ad blockers, Swift tooling, and the AI era. Lower audience today, but unusually high taste and clear original thinking.",https://areshuyle.substack.com/,high
Daniel David,,fynora.ai,Founder,"Substack, personal site/blog, LinkedIn",2105,19,"Has a real long-form writing habit with concept-heavy essays on identity, coordination, and mental fitness. Feels more like a founder-writer than a generic growth-content operator.",https://daviddaniel127.substack.com/,high
Eric Ho,https://linkedin.com/in/ericho1,warmstealth.xyz,Co-Founder,"Substack, LinkedIn, interviews",11142,16,"Strong public footprint with newsletter presence and AI ecosystem interviews. Feels more ideas-driven than template-driven, though some visibility comes through ecosystem coverage rather than only self-publishing.",https://ericho.substack.com/,moderate
Vinay Ahuja,https://www.linkedin.com/in/vinayahuja,genmark.ai,Founder and CEO,"LinkedIn, mentoring/community appearances",4734,14,"Active public operator with a visible founder voice and community footprint. Less long-form than the top writers here, but still stronger than generic founder promotion.",https://www.linkedin.com/posts/vinayahuja_genmarkai-genmarkflow-marketingthatworks-activity-7333589757953757186-QmwT,moderate
Eldar Sadikov,https://www.linkedin.com/in/eldarsadikov,fieldmaterials.com,Co-Founder & CEO,"Medium, podcasts, LinkedIn",2915,12,"Writes practical founder/operator pieces, including specific advice for VC intro calls. Not as culturally loud as the Substack-heavy names, but clearly active and substantive.",https://medium.com/@elversatile,moderate
Yang Xie,https://linkedin.com/in/ivydom,fellou.ai,Founder & CEO,"Interviews, podcasts, press features",977,12,"More public thinker than frequent blogger from the evidence I found. Strong contrarian framing around browsers and AI as a cognitive lever, which gives him more edge than typical launch content.",https://techcrunch.com/sponsor/fellou/the-rise-of-fellou-worlds-first-agentic-ai-browser/,moderate
Tom Bustamante,https://www.linkedin.com/in/tombustamante,nextrealm.ai,Founder & CEO,"Company author page, newsletter, LinkedIn",2120,11,"Publishes on AI governance and LLM topics with a visible authored trail. More company-published than personal-blog energy, but still a clear public founder voice.",https://nextrealm.ai/author/tom-bustamante/,moderate
Amir Harouni,https://linkedin.com/in/amirharouni,aialchemy.com,CEO & Founder,"Personal site, interviews",1199,10,"Has a personal web presence and public-facing founder footprint. Evidence of consistent publishing is lighter, so this is more about signal quality than sheer volume.",https://amirharouni.com/,moderate
Devin Johnson,https://linkedin.com/in/devin-johnson-salesai,salesai.com,Founder & CEO,"Podcasts, interviews, company content",890,9,"Public founder with repeated podcast appearances and strong GTM adjacency. More speaking-heavy than writing-heavy, so lower on pure writer taste but still active in the community.",https://geeksofthevalley.com/122-the-future-of-sales-how-ai-and-human-relationships-will-redefine-customer-acquisition-with-salesais-devin-johnson/,moderate
